date       time    	Air_Temp	Barometric_Press	Dew_Point	Relative_Humidity	Wind_Dir	Wind_Gust	Wind_Speed
2009_01_01 20:19:48	40.00	29.50	37.40	90.20	158.00	46.00	21.00
2009_01_01 20:26:08	39.90	29.50	37.40	90.60	150.00	36.00	21.20
2009_01_01 20:32:29	39.90	29.50	37.50	91.20	142.20	42.00	20.60
2009_01_01 20:38:49	39.80	29.50	37.50	91.60	182.40	60.00	22.00
2009_01_01 20:45:08	39.60	29.50	37.20	91.00	174.40	60.00	22.20
2009_01_01 20:51:30	39.60	29.50	37.40	91.80	161.60	37.00	16.80
2009_01_01 20:57:51	39.30	29.50	37.40	92.80	177.80	40.00	19.20
2009_01_01 21:04:08	39.30	29.50	37.40	93.00	195.20	40.00	12.20
2009_01_01 21:10:27	39.20	29.50	37.30	92.60	162.00	33.00	 7.00
2009_01_01 21:16:45	39.10	29.50	37.30	92.80	258.00	33.00	11.00
2009_01_01 21:23:16	39.10	29.50	37.20	92.80	146.60	24.00	10.80
2009_01_01 21:29:40	39.00	29.50	37.20	92.80	242.40	40.00	12.20
2009_01_01 21:36:01	38.90	29.50	37.10	93.00	202.40	15.00	 4.60
2009_01_01 21:42:23	38.90	29.50	37.10	93.00	156.60	22.00	12.20
2009_01_01 21:48:42	38.90	29.50	36.80	92.20	251.40	22.00	 8.40
2009_01_01 21:55:05	39.10	29.50	36.60	90.60	249.00	26.00	13.20
2009_01_01 22:01:29	39.10	29.50	36.80	91.40	225.20	28.00	11.40
2009_01_01 22:07:47	39.10	29.50	36.90	91.80	179.60	36.00	17.00
2009_01_01 22:14:09	38.80	29.50	37.70	95.60	206.20	36.00	21.20
2009_01_01 22:20:32	38.80	29.40	37.50	94.80	230.80	34.00	13.60
2009_01_01 22:26:51	39.00	29.40	36.70	91.20	223.60	27.00	14.80
2009_01_01 22:33:08	39.00	29.40	36.60	90.80	212.60	30.00	11.00
2009_01_01 22:39:26	38.80	29.40	36.80	92.40	231.80	21.00	14.00
2009_01_01 22:45:44	38.70	29.40	36.60	92.00	219.40	21.00	15.00
2009_01_01 22:52:01	38.90	29.40	36.60	91.40	236.80	27.00	11.80
2009_01_01 22:58:19	38.70	29.40	36.60	92.00	192.40	22.00	12.40
2009_01_01 23:04:36	38.60	29.40	36.50	92.20	222.00	26.00	13.00
2009_01_01 23:10:53	38.60	29.40	36.40	91.80	226.40	20.00	10.20
2009_01_01 23:17:11	38.60	29.40	36.50	92.00	227.60	16.00	10.80
2009_01_01 23:23:27	38.50	29.40	36.40	92.20	236.00	22.00	12.60
2009_01_01 23:29:45	38.50	29.40	36.30	91.60	236.00	22.00	14.80
2009_01_01 23:36:05	38.50	29.40	36.70	93.00	248.80	17.00	12.20
2009_01_01 23:42:21	38.10	29.40	36.30	93.40	267.20	14.00	11.60
2009_01_01 23:48:39	37.70	29.40	36.00	93.40	243.80	15.00	 8.40
2009_01_01 23:54:57	37.80	29.40	36.30	94.00	231.00	15.00	 7.80
2009_01_02 00:01:14	37.60	29.40	35.90	93.40	244.80	15.00	 9.00
2009_01_02 00:07:31	38.00	29.40	36.10	92.80	254.80	15.00	11.20
2009_01_02 00:13:48	38.20	29.40	36.20	92.40	269.60	15.00	 8.80
